id,title,abstract,keywords,year,department
ETD031,Blockchain Based Certificate Verification System,This study develops a blockchain-based approach for verifying academic certificates and reducing document fraud.,blockchain; certificate verification; academic records; security,2020,Computer Science
ETD032,Privacy Preserving Data Sharing in Cloud Systems,This dissertation explores privacy-preserving methods for secure data sharing across cloud-based information systems.,privacy; cloud computing; data sharing; cybersecurity,2021,Information Technology
ETD033,Intrusion Detection Using Deep Learning,This thesis examines deep learning models for detecting network intrusions using traffic features and anomaly patterns.,intrusion detection; cybersecurity; deep learning; network security,2022,Computer Science
ETD034,Lightweight Cryptography for IoT Devices,This work studies lightweight cryptographic algorithms suitable for constrained IoT devices and low-power embedded systems.,lightweight cryptography; iot security; embedded systems; encryption,2023,Electronics
ETD035,Phishing Website Detection Using Machine Learning,This dissertation compares machine learning approaches for classifying phishing websites based on URL and webpage features.,phishing detection; machine learning; cybersecurity; web security,2024,Computer Science
ETD036,Student Performance Prediction Using Educational Data Mining,This thesis applies educational data mining techniques to predict student performance and identify learning risk factors.,educational data mining; student performance; learning analytics; prediction,2019,Education Technology
ETD037,Adaptive E-Learning Recommendation System,This study develops a recommendation system for e-learning platforms based on student preferences and learning behavior.,e-learning; recommendation system; adaptive learning; education technology,2020,Information Technology
ETD038,NLP Based Evaluation of Student Feedback,This dissertation uses natural language processing to analyze student feedback and identify key concerns in academic courses.,student feedback; nlp; sentiment analysis; education,2021,Data Science
ETD039,Virtual Laboratory Platform for Engineering Education,This thesis designs a virtual laboratory platform to support remote practical learning for engineering students.,virtual lab; engineering education; remote learning; simulation,2022,Education Technology
ETD040,Learning Analytics Dashboard for University Courses,"This work presents a dashboard for visualizing course engagement, assessment trends, and student learning patterns.",learning analytics; dashboard; higher education; visualization,2023,Information Science
ETD041,Urban Traffic Congestion Prediction Using Sensor Data,This thesis models traffic congestion patterns using road sensor data and machine learning techniques.,traffic prediction; smart city; sensor data; machine learning,2024,Civil Engineering
ETD042,Smart Waste Management Using IoT,This dissertation proposes an IoT-based waste bin monitoring and collection optimization system for urban environments.,smart city; waste management; iot; route optimization,2019,Electronics
ETD043,Air Quality Monitoring and Prediction in Urban Areas,This study analyzes air pollution sensor data for monitoring and predicting urban air quality levels.,air quality; pollution monitoring; smart city; prediction,2020,Environmental Engineering
ETD044,Flood Risk Mapping Using GIS and Remote Sensing,This thesis uses GIS and satellite data to map flood-prone regions and support disaster preparedness planning.,flood risk; gis; remote sensing; disaster management,2021,Civil Engineering
ETD045,Smart Street Lighting Using Motion Sensors,This work designs an energy-efficient street lighting system using motion sensors and adaptive control.,smart lighting; sensors; energy efficiency; smart city,2022,Electrical Engineering
ETD046,Financial Fraud Detection Using Machine Learning,This dissertation applies machine learning models to detect suspicious financial transactions and reduce fraud risk.,fraud detection; finance; machine learning; anomaly detection,2023,Data Science
ETD047,Credit Risk Assessment for Digital Lending,This thesis develops credit risk prediction models using borrower behavior and financial indicators.,credit risk; digital lending; fintech; prediction,2024,Management Studies
ETD048,Stock Market Sentiment Analysis Using News Data,This study uses sentiment analysis on financial news to examine its relationship with stock market movement.,sentiment analysis; stock market; financial news; nlp,2019,Data Science
ETD049,Digital Payment Adoption Among Small Businesses,This dissertation studies the adoption of digital payment systems among small businesses and identifies key barriers.,digital payments; small business; fintech; adoption,2020,Management Studies
ETD050,Blockchain Applications in Supply Chain Finance,This thesis examines blockchain-based approaches for improving transparency and trust in supply chain finance.,blockchain; supply chain finance; fintech; transparency,2021,Management Studies
ETD051,Supply Chain Risk Prediction Using Data Analytics,This study develops analytics-based models to identify supply chain risks and disruptions in manufacturing networks.,supply chain; risk prediction; data analytics; manufacturing,2022,Industrial Engineering
ETD052,Inventory Optimization for Small Retail Enterprises,This dissertation studies inventory control strategies for small retail enterprises using demand forecasting and stock-level analysis.,inventory optimization; retail; demand forecasting; supply chain,2023,Operations Research
ETD053,Route Optimization for Last-Mile Delivery,This thesis investigates route optimization algorithms for improving last-mile delivery efficiency in urban logistics.,route optimization; logistics; last-mile delivery; operations research,2024,Industrial Engineering
ETD054,Cold Chain Logistics Monitoring for Perishable Goods,This work develops a monitoring framework for perishable goods logistics using temperature and humidity sensor data.,cold chain; logistics; perishable goods; iot monitoring,2019,Industrial Engineering
ETD055,Carbon Aware Supply Chain Planning,This thesis explores methods for reducing carbon emissions in supply chain planning through route and inventory decisions.,carbon emissions; supply chain; sustainability; logistics,2020,Management Studies
ETD056,Object Detection for Assistive Navigation,This study develops an object detection system to assist visually impaired users during indoor navigation.,object detection; assistive technology; computer vision; navigation,2021,Computer Science
ETD057,Speech Recognition System for Regional Languages,This dissertation explores speech recognition models for regional language interfaces in digital services.,speech recognition; regional language; nlp; human computer interaction,2022,Computer Science
ETD058,Gesture Recognition for Human Computer Interaction,This thesis uses computer vision to recognize hand gestures for controlling digital interfaces.,gesture recognition; computer vision; human computer interaction; deep learning,2023,Computer Science
ETD059,Emotion Recognition from Facial Expressions,This work examines deep learning methods for recognizing human emotions from facial expression images.,emotion recognition; facial expressions; deep learning; computer vision,2024,Computer Science
ETD060,Text Summarization for News Articles,This dissertation compares extractive and abstractive summarization approaches for long-form news articles.,text summarization; nlp; news analysis; language models,2019,Data Science
ETD061,Automatic Speech Emotion Recognition,This thesis analyzes acoustic features for recognizing emotions from speech signals using machine learning models.,speech emotion recognition; signal processing; machine learning,2020,Electronics and Communication
ETD062,Image Super Resolution Using Deep Neural Networks,This study explores deep learning models for enhancing low-resolution images while preserving visual details.,image super resolution; deep learning; computer vision; image enhancement,2021,Computer Science
ETD063,Video Surveillance Anomaly Detection,This dissertation investigates anomaly detection methods for surveillance video streams in public safety applications.,video surveillance; anomaly detection; computer vision; public safety,2022,Computer Science
ETD064,Medical Report Classification Using NLP,This thesis applies NLP techniques to classify medical reports and support faster document organization in healthcare systems.,medical reports; nlp; healthcare; text classification,2023,Data Science
ETD065,Legal Document Retrieval Using Semantic Similarity,This work studies semantic similarity methods for retrieving relevant legal documents from large case-law collections.,legal documents; semantic retrieval; nlp; information retrieval,2024,Law and Technology
ETD066,E-Governance Service Quality Assessment,This dissertation evaluates citizen satisfaction and service quality in e-governance platforms using survey-based analysis.,e-governance; service quality; citizen satisfaction; public administration,2019,Public Policy
ETD067,Digital Inclusion in Rural Education,This thesis studies barriers to digital learning access in rural schools and proposes measures for inclusive education.,digital inclusion; rural education; online learning; policy,2020,Education
ETD068,Gender Representation in STEM Education,This research examines gender representation trends in STEM education and factors influencing participation.,gender studies; stem education; higher education; participation,2021,Social Sciences
ETD069,Mental Health Chatbot for Student Support,This dissertation designs a chatbot-based support system for identifying student stress indicators and providing guidance resources.,chatbot; mental health; student support; nlp,2022,Computer Science
ETD070,Sentiment Analysis of Social Media During Disasters,This thesis analyzes social media posts during disaster events to understand public sentiment and information needs.,sentiment analysis; social media; disaster response; nlp,2023,Data Science
ETD071,Fake News Detection in Online Platforms,This study compares machine learning models for detecting misleading news content using linguistic and metadata features.,fake news detection; misinformation; nlp; social media,2024,Computer Science
ETD072,Recommendation System for Online Library Resources,This dissertation develops a recommendation approach for suggesting library resources based on user interests and borrowing history.,recommendation system; digital library; user profiling; information retrieval,2019,Library and Information Science
ETD073,User Behavior Analysis in Digital Libraries,This thesis analyzes search logs and usage patterns to understand how users interact with digital library platforms.,user behavior; digital libraries; search logs; analytics,2020,Library and Information Science
ETD074,Open Access Repository Adoption in Higher Education,This work studies institutional adoption of open access repositories and the challenges faced by universities.,open access; repositories; higher education; scholarly communication,2021,Library and Information Science
ETD075,Metadata Standardization for ETD Repositories,This dissertation examines metadata standards for ETD repositories and their role in improving interoperability and discovery.,etd; metadata standards; interoperability; repositories,2022,Library and Information Science
ETD076,Preservation Strategies for Digital Theses,This thesis studies long-term digital preservation strategies for electronic theses and dissertations in academic institutions.,digital preservation; etd; archival systems; repositories,2023,Library and Information Science
ETD077,Research Trend Analysis Using Thesis Metadata,This study analyzes thesis metadata to identify emerging research trends across departments over multiple academic years.,research trends; thesis metadata; bibliometrics; analytics,2024,Information Science
ETD078,Automatic Classification of ETDs by Subject Area,This dissertation develops machine learning models to classify ETD records into subject categories based on titles and abstracts.,etd classification; machine learning; subject indexing; digital libraries,2019,Information Science
ETD079,Full Text Indexing for Thesis Repositories,This thesis investigates full-text indexing methods for improving search quality in electronic thesis repositories.,full text indexing; etd; search systems; information retrieval,2020,Library and Information Science
ETD080,Plagiarism Detection in Academic Theses,This work examines text similarity methods for identifying potential plagiarism in academic thesis submissions.,plagiarism detection; academic integrity; text similarity; etd,2021,Information Science
ETD081,Author Name Disambiguation in Institutional Repositories,This dissertation studies methods for resolving author name ambiguity in institutional repository metadata.,author disambiguation; institutional repositories; metadata; scholarly communication,2022,Information Science
ETD082,Question Answering System for Academic Repositories,This thesis develops a question answering approach for retrieving information from academic repository records and abstracts.,question answering; academic repositories; nlp; retrieval,2023,Computer Science
ETD083,Knowledge Graph for University Research Outputs,"This study proposes a knowledge graph model for linking theses, authors, supervisors, departments, and research topics.",knowledge graph; university research; semantic web; repositories,2024,Information Science
ETD084,Topic Modeling of Doctoral Dissertation Abstracts,This dissertation applies topic modeling to doctoral dissertation abstracts to identify research themes and disciplinary patterns.,topic modeling; doctoral dissertations; abstracts; bibliometrics,2019,Data Science
ETD085,Visual Analytics for Thesis Repository Exploration,"This thesis develops visual analytics tools for exploring thesis collections by year, department, keyword, and research topic.",visual analytics; thesis repository; dashboard; digital libraries,2020,Information Science
ETD086,Academic Search Interface Design for Students,This work studies interface design requirements for academic search systems used by undergraduate and postgraduate students.,search interface; user experience; academic search; students,2021,Human Computer Interaction
ETD087,Data Cleaning Methods for Repository Metadata,"This dissertation explores data cleaning techniques for correcting missing, inconsistent, and duplicate metadata in repositories.",data cleaning; repository metadata; data quality; digital libraries,2022,Information Science
ETD088,Named Entity Recognition for Thesis Abstracts,"This thesis applies named entity recognition to extract organizations, methods, datasets, and domain terms from thesis abstracts.",named entity recognition; thesis abstracts; nlp; information extraction,2023,Data Science
ETD089,AI Based Similar Thesis Recommendation,This study develops a recommendation approach for suggesting similar theses to users based on abstract embeddings and keyword overlap.,thesis recommendation; embeddings; semantic similarity; recommender systems,2024,Computer Science
ETD090,Search Result Ranking for Digital Repositories,This dissertation examines ranking strategies for improving the ordering of search results in digital repository platforms.,search ranking; digital repositories; information retrieval; metadata,2019,Information Science
ETD091,Chatbot Interface for University Library Services,This thesis designs a chatbot interface for answering common library service queries and guiding users to digital resources.,chatbot; university library; digital services; nlp,2020,Library and Information Science
ETD092,RAG Based Assistant for Academic Literature Review,This study explores a retrieval augmented assistant for helping students summarize and organize literature review material.,retrieval augmented generation; literature review; academic assistant; nlp,2021,Computer Science
ETD093,Semantic Matching of Research Topics and Supervisors,This dissertation develops semantic matching methods to connect student research interests with potential academic supervisors.,semantic matching; research topics; supervisors; embeddings,2022,Information Science
ETD094,Thesis Submission Workflow Automation,"This thesis proposes a workflow automation system for thesis submission, review, approval, and repository deposit.",thesis submission; workflow automation; etd; digital repository,2023,Information Technology
ETD095,Digital Rights Management for ETD Access,This work studies access control and rights management issues in electronic theses and dissertations repositories.,digital rights; etd; access control; repository policy,2024,Library and Information Science
ETD096,Accessibility Evaluation of University Repository Websites,This dissertation evaluates accessibility barriers in university repository websites using standard web accessibility guidelines.,web accessibility; university repositories; digital inclusion; usability,2019,Information Science
ETD097,Optical Character Recognition for Scanned Theses,This thesis examines OCR methods for converting scanned thesis documents into searchable text for digital repositories.,ocr; scanned theses; text extraction; digital preservation,2020,Computer Science
ETD098,Duplicate Record Detection in ETD Metadata,This study explores duplicate detection methods for improving metadata quality in electronic thesis repositories.,duplicate detection; etd metadata; data quality; repositories,2021,Information Science
ETD099,Open Scholarship Practices in Indian Universities,"This dissertation studies open scholarship practices, repository adoption, and research visibility in Indian higher education institutions.",open scholarship; indian universities; repositories; research visibility,2022,Library and Information Science
ETD100,Research Data Management for Postgraduate Scholars,This thesis examines research data management practices among postgraduate scholars and their awareness of repository services.,research data management; postgraduate scholars; repositories; data sharing,2023,Library and Information Science
ETD101,Digital Library Usage Among Engineering Students,This study analyzes the usage patterns of digital library services among engineering students in higher education institutions.,digital library usage; engineering students; user study; academic libraries,2024,Library and Information Science
ETD102,Metadata Enrichment Using Large Language Models,This dissertation explores the use of language models for suggesting keywords and subject labels for academic repository records.,metadata enrichment; language models; repositories; subject labels,2019,Information Science
ETD103,Semantic Clustering of ETD Collections,This thesis applies clustering methods to group ETD records into topic clusters using abstract embeddings.,semantic clustering; etd collections; embeddings; topic discovery,2020,Data Science
ETD104,Library Discovery System Evaluation,This work evaluates discovery systems used in academic libraries and identifies issues affecting search precision and user satisfaction.,library discovery; search evaluation; user satisfaction; academic libraries,2021,Library and Information Science
ETD105,Academic Integrity Awareness Among Research Scholars,"This dissertation studies awareness of plagiarism, citation practices, and academic integrity among research scholars.",academic integrity; plagiarism awareness; research scholars; citation practices,2022,Education
ETD106,Citation Recommendation for Thesis Writing,This thesis develops a citation recommendation method to help students identify related papers and theses during writing.,citation recommendation; thesis writing; information retrieval; recommender systems,2023,Computer Science
ETD107,Document Similarity Analysis for Research Mapping,This study uses document similarity methods to map relationships among research documents in an academic repository.,document similarity; research mapping; embeddings; repositories,2024,Information Science
ETD108,Supervisor Feedback Management System for Theses,This dissertation designs a digital system for managing supervisor comments and student revisions during thesis preparation.,thesis supervision; feedback management; academic workflow; information systems,2019,Information Technology
ETD109,Automated Abstract Screening for Literature Review,This thesis examines machine learning methods for screening academic abstracts during systematic literature review tasks.,abstract screening; literature review; machine learning; research methods,2020,Data Science
ETD110,Digital Repository Policy Framework,"This work studies policy requirements for managing digital repositories, including submission, access, preservation, and licensing.",repository policy; digital preservation; access policy; scholarly communication,2021,Library and Information Science
ETD111,Semantic Search for Climate Change Research,This dissertation applies semantic retrieval to climate change research documents for improved topic-based discovery.,semantic search; climate change; research discovery; information retrieval,2022,Environmental Science
ETD112,Disaster Management Information System,"This thesis designs an information system for coordinating disaster response data, resources, and communication between agencies.",disaster management; information system; emergency response; coordination,2023,Information Technology
ETD113,Landslide Susceptibility Mapping Using Machine Learning,This study uses machine learning and geospatial features to predict landslide-prone areas in hilly regions.,landslide mapping; machine learning; gis; disaster risk,2024,Civil Engineering
ETD114,Groundwater Quality Prediction Using Data Mining,This dissertation develops data mining models for predicting groundwater quality based on chemical and environmental indicators.,groundwater quality; data mining; environmental monitoring; prediction,2019,Environmental Engineering
ETD115,Urban Heat Island Analysis Using Satellite Data,This thesis analyzes urban heat island effects using satellite imagery and land surface temperature data.,urban heat island; satellite data; remote sensing; urban climate,2020,Environmental Science
ETD116,Smart Parking System Using IoT Sensors,This study proposes an IoT-based smart parking system for detecting available parking spaces and reducing urban congestion.,smart parking; iot sensors; smart city; urban mobility,2021,Electronics
ETD117,Public Transport Demand Forecasting,This dissertation uses historical ridership data to forecast public transport demand and support route planning decisions.,public transport; demand forecasting; urban planning; time series,2022,Civil Engineering
ETD118,Human Activity Recognition Using Smartphone Sensors,This thesis applies machine learning to smartphone sensor data for recognizing daily human activities.,human activity recognition; smartphone sensors; machine learning; signal processing,2023,Computer Science
ETD119,Anomaly Detection in Industrial Machines,This study develops anomaly detection models for identifying faults in industrial machines using vibration sensor data.,industrial iot; anomaly detection; predictive maintenance; sensors,2024,Mechanical Engineering
ETD120,Robotic Arm Control Using Computer Vision,This dissertation explores computer vision methods for guiding robotic arm movement in object sorting tasks.,robotics; computer vision; control systems; automation,2019,Mechanical Engineering
ETD121,Autonomous Navigation for Mobile Robots,This thesis studies localization and path planning methods for autonomous mobile robots in indoor environments.,autonomous robots; navigation; path planning; localization,2020,Robotics
ETD122,3D Printing Process Parameter Optimization,This work investigates optimization of 3D printing parameters for improving strength and surface quality of printed parts.,3d printing; optimization; manufacturing; process parameters,2021,Mechanical Engineering
ETD123,Speech-to-Text System for Lecture Transcription,This dissertation develops a speech-to-text workflow for transcribing classroom lectures and supporting searchable educational content.,speech to text; lecture transcription; education technology; nlp,2022,Computer Science
ETD124,Automatic Timetable Generation Using Optimization,This thesis applies optimization algorithms to generate conflict-free academic timetables for university departments.,timetable generation; optimization; scheduling; university management,2023,Operations Research
ETD125,Faculty Workload Management System,"This study designs an information system for tracking teaching loads, administrative duties, and academic workload distribution.",faculty workload; information system; university administration; scheduling,2024,Information Technology
ETD126,Library Book Recommendation Using Borrowing History,This dissertation proposes a recommendation model based on borrowing records and subject preferences in academic libraries.,book recommendation; library analytics; recommender system; borrowing history,2019,Library and Information Science
ETD127,Smart Attendance System Using Face Recognition,This thesis develops a face recognition based attendance system for classroom and institutional use.,face recognition; attendance system; computer vision; education technology,2020,Computer Science
ETD128,Cyberbullying Detection on Social Media,This study applies NLP models to detect cyberbullying content in social media text and support moderation systems.,cyberbullying detection; social media; nlp; online safety,2021,Computer Science
ETD129,Online Examination Proctoring Using Computer Vision,This dissertation examines computer vision methods for detecting suspicious behavior during online examinations.,online proctoring; computer vision; examination system; education technology,2022,Computer Science
ETD130,Question Paper Generation System,"This thesis designs an automated question paper generation system using question banks, difficulty levels, and syllabus mapping.",question generation; education technology; assessment; automation,2023,Information Technology
ETD131,Academic Plagiarism Awareness Portal,"This work develops an awareness portal to guide students on plagiarism, citation practices, and ethical academic writing.",plagiarism awareness; citation practices; academic writing; portal,2024,Education Technology
ETD132,Repository Analytics for Research Administrators,"This dissertation designs analytics dashboards for administrators to monitor repository growth, downloads, departments, and research areas.",repository analytics; dashboards; research administration; digital libraries,2019,Information Science
ETD133,Thesis Download Pattern Analysis,This thesis analyzes download logs from a thesis repository to understand user interest patterns and seasonal usage behavior.,download analytics; thesis repository; user behavior; digital libraries,2020,Library and Information Science
ETD134,Keyword Recommendation for ETD Submission Forms,This study proposes keyword recommendation during ETD submission to improve metadata quality and later discoverability.,keyword recommendation; etd submission; metadata enrichment; digital repositories,2021,Information Science
ETD135,Supervisor Recommendation for Research Students,This dissertation uses text similarity between student interests and faculty publications to recommend suitable supervisors.,supervisor recommendation; text similarity; faculty publications; research matching,2022,Information Science
ETD136,Open Educational Resources Repository Design,"This thesis designs a repository for open educational resources with metadata, search, licensing, and reuse support.",open educational resources; repository design; metadata; open education,2023,Education Technology
ETD137,Institutional Repository Search Log Analysis,"This study analyzes institutional repository search logs to identify failed queries, popular topics, and metadata gaps.",search logs; institutional repository; failed queries; metadata gaps,2024,Library and Information Science
ETD138,AI Assisted Metadata Validation for ETDs,This dissertation explores AI-assisted validation of ETD metadata fields to identify missing or inconsistent information before repository deposit.,metadata validation; etd; ai assistance; data quality,2019,Information Science
ETD139,Semantic Retrieval of Agricultural Research Documents,This thesis applies semantic retrieval to agricultural research documents for improved discovery of related studies.,semantic retrieval; agriculture; research documents; embeddings,2020,Data Science
ETD140,Context Aware Search for Engineering Theses,This study designs a context-aware search approach for engineering thesis collections using abstracts and subject metadata.,context aware search; engineering theses; metadata; semantic search,2021,Information Science
ETD141,RAG Based Query Answering for Digital Libraries,This dissertation studies retrieval augmented generation for answering user questions over digital library metadata and abstracts.,rag; digital libraries; question answering; retrieval,2022,Computer Science
ETD142,AI Supported Literature Mapping for Research Scholars,This thesis develops a tool for mapping literature themes and related works using embeddings and visualization methods.,literature mapping; research scholars; embeddings; visualization,2023,Data Science
ETD143,ETD Repository User Satisfaction Study,"This work surveys users of ETD repositories to identify search difficulties, interface issues, and preferred discovery features.",user satisfaction; etd repositories; survey; discovery systems,2024,Library and Information Science
ETD144,Long Term Archiving of Born Digital Theses,"This dissertation studies preservation challenges associated with born-digital theses, file formats, and repository workflows.",born digital theses; archiving; preservation; etd,2019,Library and Information Science
ETD145,Academic Repository Interoperability Using OAI-PMH,This thesis examines interoperability among academic repositories using metadata harvesting protocols and shared standards.,oai-pmh; interoperability; repositories; metadata harvesting,2020,Library and Information Science
ETD146,Semantic Similarity for Related Work Discovery,This study explores semantic similarity models for helping researchers identify related work from titles and abstracts.,semantic similarity; related work; research discovery; embeddings,2021,Information Science
ETD147,Metadata Completeness and Search Effectiveness,This dissertation investigates how missing metadata fields affect search effectiveness in institutional repository systems.,metadata completeness; search effectiveness; repositories; data quality,2022,Information Science
ETD148,Digital Scholarship Support Services in Libraries,"This thesis studies how academic libraries support digital scholarship through repositories, training, research data services, and discovery tools.",digital scholarship; academic libraries; repository services; research support,2023,Library and Information Science
